ID de Licitacion,Institucion Convocante,Tipo de Licitacion,Fecha de Publicacion de convocatoria,Fecha de Cierre de Convocatoria,Fecha de primera Adjudicacion,Ministro a cargo,Categoria del bien a adquirir,Tag,URL de la Licitacion,Link al PBC
382379,Ministerio de Salud Pública y Bienestar Social (MSPBS),Contratación por Excepción,2020-04-15,,2020-04-03,Julio Mazzoleni (PostCovid),"Bienes - Equipos, Productos e instrumentales Médicos y de Laboratorio. Servicios asistenciales de salud",covid_19;urgencia_impostergable;adreferendum,https://www.contrataciones.gov.py/licitaciones/convocatoria/382379-adquisicion-reactivos-medio-transporte-contingencia-covid-19-1.html,
382358,Ministerio de Salud Pública y Bienestar Social (MSPBS),Contratación por Excepción,2020-04-14,,2020-04-02,Julio Mazzoleni (PostCovid),"Bienes - Equipos, Productos e instrumentales Médicos y de Laboratorio. Servicios asistenciales de salud",covid_19;urgencia_impostergable;adreferendum,https://www.contrataciones.gov.py/licitaciones/convocatoria/382358-adquisicion-ventilador-pulmonar-contingencia-covid-19-1.html,
382336,Ministerio de Salud Pública y Bienestar Social (MSPBS),Contratación por Excepción,2020-04-27,,2020-04-07,Julio Mazzoleni (PostCovid),"Bienes - Equipos, Productos e instrumentales Médicos y de Laboratorio. Servicios asistenciales de salud",covid_19;urgencia_impostergable,https://www.contrataciones.gov.py/licitaciones/convocatoria/382336-adquisicion-equipos-accesorios-varios-sistema-gases-medicinales-unidades-terapia-int-1.html,
382317,Ministerio de Salud Pública y Bienestar Social (MSPBS),Contratación por Excepción,2020-04-06,,2020-04-01,Julio Mazzoleni (PostCovid),"Bienes - Equipos, Productos e instrumentales Médicos y de Laboratorio. Servicios asistenciales de salud",adreferendum;covid_19;urgencia_impostergable,https://www.contrataciones.gov.py/licitaciones/convocatoria/382317-adquisicion-insumos-camas-covid-19-1.html,
382288,Ministerio de Salud Pública y Bienestar Social (MSPBS),Contratación por Excepción,2020-05-05,,2020-04-02,Julio Mazzoleni (PostCovid),"Bienes - Equipos, Productos e instrumentales Médicos y de Laboratorio. Servicios asistenciales de salud",covid_19;urgencia_impostergable,https://www.contrataciones.gov.py/licitaciones/convocatoria/382288-adquisicion-insumos-especificos-contingencia-covid-19-mspbs-1.html,
382287,Ministerio de Salud Pública y Bienestar Social (MSPBS),Contratación por Excepción,2020-04-14,,2020-04-01,Julio Mazzoleni (PostCovid),"Bienes - Equipos, Productos e instrumentales Médicos y de Laboratorio. Servicios asistenciales de salud",covid_19;urgencia_impostergable,https://www.contrataciones.gov.py/licitaciones/convocatoria/382287-adquisicion-medicamento-contingencia-covid-19-1.html,
382278,Ministerio de Salud Pública y Bienestar Social (MSPBS),Contratación por Excepción,2020-04-17,,2020-04-03,Julio Mazzoleni (PostCovid),"Bienes - Equipos, Productos e instrumentales Médicos y de Laboratorio. Servicios asistenciales de salud",covid_19;urgencia_impostergable;adreferendum,https://www.contrataciones.gov.py/licitaciones/convocatoria/382278-centralizacion-ampliacion-adecuacion-gases-medicos-instituto-medicina-tropical-1.html,
382277,Ministerio de Salud Pública y Bienestar Social (MSPBS),Contratación por Excepción,2020-04-14,,2020-04-03,Julio Mazzoleni (PostCovid),Bienes - Muebles y Enseres,adreferendum;covid_19;urgencia_impostergable,https://www.contrataciones.gov.py/licitaciones/convocatoria/382277-adquiicion-aire-acondicionado-zona-aislado-internacion-uti-hospital-nacional-cobertu-1.html,
382276,Ministerio de Salud Pública y Bienestar Social (MSPBS),Contratación por Excepción,2020-04-13,,2020-04-02,Julio Mazzoleni (PostCovid),"Bienes - Equipos, Productos e instrumentales Médicos y de Laboratorio. Servicios asistenciales de salud",urgencia_impostergable,https://www.contrataciones.gov.py/licitaciones/convocatoria/382276-adquisicion-dacarbazina-trastuzumab-emtansina-1.html,
382252,Ministerio de Salud Pública y Bienestar Social (MSPBS),Contratación por Excepción,2020-04-14,,2020-03-30,Julio Mazzoleni (PostCovid),"Bienes - Equipos, Productos e instrumentales Médicos y de Laboratorio. Servicios asistenciales de salud",urgencia_impostergable,https://www.contrataciones.gov.py/licitaciones/convocatoria/382252-adquisicion-medicamentos-trastuzumab-emtansina-100-mg-vemurafenib-240-mg-cobimetinib-1.html,
382191,Ministerio de Salud Pública y Bienestar Social (MSPBS),Contratación por Excepción,2020-05-12,,2020-03-27,Julio Mazzoleni (PostCovid),"Bienes - Equipos, Productos e instrumentales Médicos y de Laboratorio. Servicios asistenciales de salud",covid_19;urgencia_impostergable,https://www.contrataciones.gov.py/licitaciones/convocatoria/382191-adquisicion-insumos-proteccion-biologica-covid-19-1.html,
382183,Ministerio de Salud Pública y Bienestar Social (MSPBS),Contratación por Excepción,2020-04-14,,2020-03-26,Julio Mazzoleni (PostCovid),"Bienes - Equipos, Productos e instrumentales Médicos y de Laboratorio. Servicios asistenciales de salud",adreferendum;covid_19;urgencia_impostergable,https://www.contrataciones.gov.py/licitaciones/convocatoria/382183-adquisicion-insumos-basicos-contingencia-covid-19-1.html,
382103,Ministerio de Salud Pública y Bienestar Social (MSPBS),Contratación por Excepción,2020-04-02,,2020-03-19,Julio Mazzoleni (PostCovid),"Bienes - Equipos, Productos e instrumentales Médicos y de Laboratorio. Servicios asistenciales de salud",urgencia_impostergable,https://www.contrataciones.gov.py/licitaciones/convocatoria/382103-adquisicion-pertuzumab-420-mg-enzalutamida-40-mg-fulvestrant-250-mg-mspbs-1.html,
382078,Ministerio de Salud Pública y Bienestar Social (MSPBS),Contratación por Excepción,2020-04-06,,2020-03-20,Julio Mazzoleni (PostCovid),"Bienes - Equipos, Productos e instrumentales Médicos y de Laboratorio. Servicios asistenciales de salud",covid_19;urgencia_impostergable,https://www.contrataciones.gov.py/licitaciones/convocatoria/382078-adquisicion-reactivos-imt-covid-19-dengue-1.html,
382075,Ministerio de Salud Pública y Bienestar Social (MSPBS),Contratación por Excepción,2020-04-15,,2020-03-20,Julio Mazzoleni (PostCovid),"Bienes - Equipos, Productos e instrumentales Médicos y de Laboratorio. Servicios asistenciales de salud",urgencia_impostergable,https://www.contrataciones.gov.py/licitaciones/convocatoria/382075-adquisicion-reactivos-dengue-laboratorio-central-salud-publica-1.html,
382001,Ministerio de Salud Pública y Bienestar Social (MSPBS),Contratación por Excepción,2020-04-03,,2020-03-19,Julio Mazzoleni (PostCovid),"Servicios - Servicios de Limpiezas, Mantenimientos y reparaciones menores y mayores de Instalaciones, Maquinarias y Vehículos",covid_19;urgencia_impostergable,https://www.contrataciones.gov.py/licitaciones/convocatoria/382001-servicio-desinfeccion-prolongada-hospitales-mspbs-19-ncov-1.html,
381965,Ministerio de Salud Pública y Bienestar Social (MSPBS),Contratación por Excepción,2020-03-31,,2020-03-18,Julio Mazzoleni (PostCovid),"Bienes - Equipos, Productos e instrumentales Médicos y de Laboratorio. Servicios asistenciales de salud",urgencia_impostergable;covid_19,https://www.contrataciones.gov.py/licitaciones/convocatoria/381965-adquisicion-reactivos-e-insumos-laboratorio-contingencia-covid-2019-1.html,
381964,Ministerio de Salud Pública y Bienestar Social (MSPBS),Contratación por Excepción,2020-04-07,,2020-03-13,Julio Mazzoleni (PostCovid),"Bienes - Equipos, Productos e instrumentales Médicos y de Laboratorio. Servicios asistenciales de salud",urgencia_impostergable,https://www.contrataciones.gov.py/licitaciones/convocatoria/381964-adquisicion-medicamentos-oncologicos-1.html,
381932,Ministerio de Salud Pública y Bienestar Social (MSPBS),Contratación por Excepción,2020-04-16,,2020-03-19,Julio Mazzoleni (PostCovid),"Bienes - Equipos, Productos e instrumentales Médicos y de Laboratorio. Servicios asistenciales de salud",urgencia_impostergable,https://www.contrataciones.gov.py/licitaciones/convocatoria/381932-adquisicion-insumos-generales-tratamiento-enfermedades-respiratorias-1.html,
381898,Ministerio de Salud Pública y Bienestar Social (MSPBS),Contratación por Excepción,2020-04-02,,2020-03-17,Julio Mazzoleni (PostCovid),"Bienes - Equipos, Productos e instrumentales Médicos y de Laboratorio. Servicios asistenciales de salud",urgencia_impostergable,https://www.contrataciones.gov.py/licitaciones/convocatoria/381898-adquisicion-equipos-terapia-cobertura-contingencia-covid19-1.html,
381880,Ministerio de Salud Pública y Bienestar Social (MSPBS),Contratación por Excepción,2020-03-27,,2020-03-16,Julio Mazzoleni (PostCovid),"Bienes - Equipos, Productos e instrumentales Médicos y de Laboratorio. Servicios asistenciales de salud",urgencia_impostergable,https://www.contrataciones.gov.py/licitaciones/convocatoria/381880-adquisicion-insumos-proteccion-biologica-contingencia-declarados-desiertos-cve-15-20-1.html,
381879,Ministerio de Salud Pública y Bienestar Social (MSPBS),Contratación por Excepción,2020-03-27,,2020-03-16,Julio Mazzoleni (PostCovid),"Bienes - Equipos, Productos e instrumentales Médicos y de Laboratorio. Servicios asistenciales de salud",covid_19;urgencia_impostergable,https://www.contrataciones.gov.py/licitaciones/convocatoria/381879-adquisicion-equipos-accesorios-varios-gases-medicos-dependencias-mspbs-contingencia-1.html,
381695,Ministerio de Salud Pública y Bienestar Social (MSPBS),Contratación Directa,2020-05-08,2020-05-25T09:00:00-04:00,2020-05-25,Julio Mazzoleni (PostCovid),"Bienes - Utiles de oficina, Productos de papel y cartón e impresos",,https://www.contrataciones.gov.py/licitaciones/convocatoria/381695-adquisicion-impresiones-varias-1.html,
381675,Ministerio de Salud Pública y Bienestar Social (MSPBS),Contratación Directa,2020-05-07,2020-05-21T09:00:00-04:00,2020-05-21,Julio Mazzoleni (PostCovid),"Bienes - Utiles de oficina, Productos de papel y cartón e impresos",,https://www.contrataciones.gov.py/licitaciones/convocatoria/381675-adquisiciòn-prodctos-papel-higienicos-papel-seca-manos-1.html,
381672,Ministerio de Salud Pública y Bienestar Social (MSPBS),Contratación por Excepción,2020-03-27,,2020-03-11,Julio Mazzoleni (PostCovid),"Bienes - Equipos, Productos e instrumentales Médicos y de Laboratorio. Servicios asistenciales de salud",urgencia_impostergable,https://www.contrataciones.gov.py/licitaciones/convocatoria/381672-adquisicion-vemurafenib-cobimetinib-fulvestrant-letrozol-trastuzumab-1.html,
381397,Ministerio de Salud Pública y Bienestar Social (MSPBS),Contratación Directa,2020-06-01,2020-06-11T10:00:00-04:00,2020-06-11,Julio Mazzoleni (PostCovid),"Servicios - Servicios de Limpiezas, Mantenimientos y reparaciones menores y mayores de Instalaciones, Maquinarias y Vehículos",,https://www.contrataciones.gov.py/licitaciones/convocatoria/381397-adquisicion-servicio-lavado-completo-aspirado-gomeria-vehiculo-1.html,
381355,Ministerio de Salud Pública y Bienestar Social (MSPBS),Contratación Directa,2020-04-14,2020-04-28T09:15:00-04:00,2020-04-28,Julio Mazzoleni (PostCovid),"Bienes - Utiles de oficina, Productos de papel y cartón e impresos",,https://www.contrataciones.gov.py/licitaciones/convocatoria/381355-adquisicion-papel-secamanos-papel-higienico-servilletas-papel-uso-ineram-1.html,
381347,Ministerio de Salud Pública y Bienestar Social (MSPBS),Licitación Pública Nacional,2020-04-27,2020-05-21T09:00:00-04:00,2020-05-21,Julio Mazzoleni (PostCovid),"Servicios - Servicios de ceremonial, gastronomico y funerarios",,https://www.contrataciones.gov.py/licitaciones/convocatoria/381347-adquisicion-alimentos-elaborados-pacientes-personal-blanco-guardia-hospital-general-1.html,https://www.contrataciones.gov.py/documentos/download/convocatoria/ilvI15evhGU%253D
381164,Ministerio de Salud Pública y Bienestar Social (MSPBS),Locación de Inmuebles,2020-03-26,2020-04-06T08:50:00-04:00,2020-04-06,Julio Mazzoleni (PostCovid),Locación Muebles - Adquisición y Locación de inmuebles. Alquiler de muebles,,https://www.contrataciones.gov.py/licitaciones/convocatoria/381164-locacion-inmuebles-determinado-asiento-hogar-sustituto-nueva-paz-1.html,
381060,Ministerio de Salud Pública y Bienestar Social (MSPBS),Contratación Directa,2020-04-14,2020-04-24T08:30:00-04:00,2020-04-24,Julio Mazzoleni (PostCovid),Bienes - Elementos e insumos de limpieza,produccion_nacional,https://www.contrataciones.gov.py/licitaciones/convocatoria/381060-adquisicion-insumos-elementos-limpieza-1.html,
381051,Ministerio de Salud Pública y Bienestar Social (MSPBS),Contratación Directa,2020-04-24,2020-05-12T09:45:00-04:00,2020-05-12,Julio Mazzoleni (PostCovid),"Bienes - Utiles de oficina, Productos de papel y cartón e impresos",,https://www.contrataciones.gov.py/licitaciones/convocatoria/381051-adquisicion-utiles-oficina-cenquer-1.html,
381048,Ministerio de Salud Pública y Bienestar Social (MSPBS),Contratación Directa,2020-04-30,2020-05-20T08:45:00-04:00,2020-05-20,Julio Mazzoleni (PostCovid),"Bienes - Utiles de oficina, Productos de papel y cartón e impresos",,https://www.contrataciones.gov.py/licitaciones/convocatoria/381048-adquisicion-toalla-papel-cenquer-1.html,
381046,Ministerio de Salud Pública y Bienestar Social (MSPBS),Contratación Directa,2020-04-28,2020-05-18T08:45:00-04:00,2020-05-18,Julio Mazzoleni (PostCovid),"Bienes - Utiles de oficina, Productos de papel y cartón e impresos",,https://www.contrataciones.gov.py/licitaciones/convocatoria/381046-adquisicion-resma-papel-cenquer-1.html,
381037,Ministerio de Salud Pública y Bienestar Social (MSPBS),Concurso de Ofertas,2020-04-14,2020-04-30T08:30:00-04:00,2020-04-30,Julio Mazzoleni (PostCovid),Bienes - Productos Alimenticios,agricultura_familiar;produccion_nacional,https://www.contrataciones.gov.py/licitaciones/convocatoria/381037-adquisicion-alimentos-personas-personal-guardia-1.html,https://www.contrataciones.gov.py/documentos/download/convocatoria/%252B89QcrGYuTY%253D
380870,Ministerio de Salud Pública y Bienestar Social (MSPBS),Contratación Directa,2020-05-05,2020-05-18T10:15:00-04:00,2020-05-18,Julio Mazzoleni (PostCovid),"Bienes - Utiles de oficina, Productos de papel y cartón e impresos",,https://www.contrataciones.gov.py/licitaciones/convocatoria/380870-adquisicion-papel-seca-mano-papel-higienico-otros-1.html,
380848,Ministerio de Salud Pública y Bienestar Social (MSPBS),Contratación Directa,2020-04-28,2020-05-12T09:00:00-04:00,2020-05-12,Julio Mazzoleni (PostCovid),Bienes - Elementos e insumos de limpieza,produccion_nacional,https://www.contrataciones.gov.py/licitaciones/convocatoria/380848-adquisicion-elementos-aseo-hospital-general-luque-1.html,
380795,Ministerio de Salud Pública y Bienestar Social (MSPBS),Contratación Directa,2020-04-30,2020-06-23T09:00:00-04:00,2020-06-23,Julio Mazzoleni (PostCovid),Bienes - Productos Alimenticios,agricultura_familiar;produccion_nacional,https://www.contrataciones.gov.py/licitaciones/convocatoria/380795-adquisicion-productos-alimenticios-hospital-general-luque-1.html,
380664,Ministerio de Salud Pública y Bienestar Social (MSPBS),Contratación Directa,2020-04-28,2020-05-06T09:00:00-04:00,2020-05-06,Julio Mazzoleni (PostCovid),Bienes - Elementos e insumos de limpieza,produccion_nacional,https://www.contrataciones.gov.py/licitaciones/convocatoria/380664-adquisicion-elementos-e-insumos-limpieza-1.html,
380657,Ministerio de Salud Pública y Bienestar Social (MSPBS),Contratación Directa,2020-05-05,2020-05-18T09:00:00-04:00,2020-05-18,Julio Mazzoleni (PostCovid),"Bienes - Textiles, vestuarios y calzados",produccion_nacional,https://www.contrataciones.gov.py/licitaciones/convocatoria/380657-adquisicion-hilados-telas-1.html,
380646,Ministerio de Salud Pública y Bienestar Social (MSPBS),Contratación Directa,2020-03-19,2020-04-01T09:50:00-04:00,2020-04-01,Julio Mazzoleni (PostCovid),Bienes - Muebles y Enseres,,https://www.contrataciones.gov.py/licitaciones/convocatoria/380646-adquisicion-muebles-enseres-control-profesionales-establecimientos-salud-mspybs-1.html,
380625,Ministerio de Salud Pública y Bienestar Social (MSPBS),Concurso de Ofertas,2020-06-25,2020-07-06T10:45:00-04:00,2020-07-06,Julio Mazzoleni (PostCovid),"Servicios - Servicios de Limpiezas, Mantenimientos y reparaciones menores y mayores de Instalaciones, Maquinarias y Vehículos",,https://www.contrataciones.gov.py/licitaciones/convocatoria/380625-reubicacion-deposito-residuos-patologicos-comunes-hospital-trauma-1.html,https://www.contrataciones.gov.py/documentos/download/convocatoria/cT5%252BGarW1As%253D
380526,Ministerio de Salud Pública y Bienestar Social (MSPBS),Contratación por Excepción,2020-04-02,,2020-03-05,Julio Mazzoleni (PostCovid),"Bienes - Equipos, Productos e instrumentales Médicos y de Laboratorio. Servicios asistenciales de salud",urgencia_impostergable,https://www.contrataciones.gov.py/licitaciones/convocatoria/380526-adquisicion-insumos-proteccion-biologica-contingencia-1.html,
380189,Ministerio de Salud Pública y Bienestar Social (MSPBS),Concurso de Ofertas,2020-05-06,2020-05-28T09:50:00-04:00,2020-05-28,Julio Mazzoleni (PostCovid),"Servicios - Servicios de Limpiezas, Mantenimientos y reparaciones menores y mayores de Instalaciones, Maquinarias y Vehículos",,https://www.contrataciones.gov.py/licitaciones/convocatoria/380189-mantenimiento-reparacion-ascensores-montecarga-plurianual-1.html,https://www.contrataciones.gov.py/documentos/download/convocatoria/%252BA1UNgC0Hp8%253D
380157,Ministerio de Salud Pública y Bienestar Social (MSPBS),Contratación Directa,2020-04-29,2020-05-13T08:45:00-04:00,2020-05-13,Julio Mazzoleni (PostCovid),Bienes - Productos quimicos,produccion_nacional,https://www.contrataciones.gov.py/licitaciones/convocatoria/380157-adquisicion-insecticidas-1.html,
380128,Ministerio de Salud Pública y Bienestar Social (MSPBS),Concurso de Ofertas,2020-07-08,2020-07-20T10:45:00-04:00,2020-07-20,Julio Mazzoleni (PostCovid),"Bienes - Utensilios de cocina y comedor, Productos de Porcelana, vidrio y loza",,https://www.contrataciones.gov.py/licitaciones/convocatoria/380128-adquisicion-utensilios-cocina-descartables-plurianual-1.html,https://www.contrataciones.gov.py/documentos/download/convocatoria/3oXqywmEuMA%253D
380093,Ministerio de Salud Pública y Bienestar Social (MSPBS),Contratación Directa,2020-05-08,2020-05-20T08:45:00-04:00,2020-05-20,Julio Mazzoleni (PostCovid),"Bienes - Utensilios de cocina y comedor, Productos de Porcelana, vidrio y loza",,https://www.contrataciones.gov.py/licitaciones/convocatoria/380093-adquisicion-film-envasar-alimentos-plurianual-1.html,
379809,Ministerio de Salud Pública y Bienestar Social (MSPBS),Contratación Directa,2020-04-14,2020-04-24T10:00:00-04:00,2020-04-24,Julio Mazzoleni (PostCovid),"Bienes - Utiles de oficina, Productos de papel y cartón e impresos",,https://www.contrataciones.gov.py/licitaciones/convocatoria/379809-adquisicion-libros-investigacion-dnvs-1.html,
379807,Ministerio de Salud Pública y Bienestar Social (MSPBS),Contratación Directa,2020-04-27,2020-05-05T10:00:00-04:00,2020-05-05,Julio Mazzoleni (PostCovid),"Bienes - Utiles de oficina, Productos de papel y cartón e impresos",,https://www.contrataciones.gov.py/licitaciones/convocatoria/379807-adquisicion-formularios-continuos-dpto-ingresos-dependiente-dnvs-1.html,
379076,Ministerio de Salud Pública y Bienestar Social (MSPBS),Contratación por Excepción,2020-03-13,,2020-02-28,Julio Mazzoleni (PostCovid),"Bienes - Equipos, Productos e instrumentales Médicos y de Laboratorio. Servicios asistenciales de salud",urgencia_impostergable,https://www.contrataciones.gov.py/licitaciones/convocatoria/379076-adquisicion-pertuzumab-420-mg-trastuzumab-emtansina-100-mg-bevacizumab-400-mg-dacarb-1.html,
377671,Ministerio de Salud Pública y Bienestar Social (MSPBS),Contratación Directa,2020-03-16,2020-03-31T09:50:00-04:00,2020-03-31,Julio Mazzoleni (PostCovid),Servicios - Servicios Técnicos,,https://www.contrataciones.gov.py/licitaciones/convocatoria/377671-servicio-impresiones-direccion-general-profesionales-establecimientos-tecnologia-1.html,
377292,Ministerio de Salud Pública y Bienestar Social (MSPBS),Contratación por Excepción,2020-03-13,,2020-02-19,Julio Mazzoleni (PostCovid),"Bienes - Equipos, Productos e instrumentales Médicos y de Laboratorio. Servicios asistenciales de salud",urgencia_impostergable,https://www.contrataciones.gov.py/licitaciones/convocatoria/377292-adquisicion-medicamento-pertuzumab-420mg-trastuzumab-emtansina-100-mg-sunitinib-50-1.html,
376908,Ministerio de Salud Pública y Bienestar Social (MSPBS),Contratación por Excepción,2020-03-20,,2020-02-17,Julio Mazzoleni (PostCovid),"Bienes - Equipos, Productos e instrumentales Médicos y de Laboratorio. Servicios asistenciales de salud",urgencia_impostergable,https://www.contrataciones.gov.py/licitaciones/convocatoria/376908-adquisicion-pembrolizumab-100-mg-mspbs-1.html,
376903,Ministerio de Salud Pública y Bienestar Social (MSPBS),Contratación por Excepción,2020-03-26,,2020-02-18,Julio Mazzoleni (PostCovid),"Bienes - Equipos, Productos e instrumentales Médicos y de Laboratorio. Servicios asistenciales de salud",urgencia_impostergable,https://www.contrataciones.gov.py/licitaciones/convocatoria/376903-adquisicion-formula-completa-tto-dietetico-ninos-0-1-anos-tirosinemia-tipo-i-1.html,
376726,Ministerio de Salud Pública y Bienestar Social (MSPBS),Contratación por Excepción,2020-03-23,,2020-02-14,Julio Mazzoleni (PostCovid),"Bienes - Equipos, Productos e instrumentales Médicos y de Laboratorio. Servicios asistenciales de salud",,https://www.contrataciones.gov.py/licitaciones/convocatoria/376726-adquisicion-alemtuzumab-12-mg-mspbs-1.html,
376037,Ministerio de Salud Pública y Bienestar Social (MSPBS),Contratación por Excepción,2020-03-13,,2020-02-07,Julio Mazzoleni (PostCovid),"Bienes - Equipos, Productos e instrumentales Médicos y de Laboratorio. Servicios asistenciales de salud",urgencia_impostergable,https://www.contrataciones.gov.py/licitaciones/convocatoria/376037-adquisicion-pertuzumab-420-mg-mspbs-1.html,
375919,Ministerio de Salud Pública y Bienestar Social (MSPBS),Locación de Inmuebles,2020-03-10,2020-03-20T09:50:00-04:00,2020-03-20,Julio Mazzoleni (PostCovid),Bienes - Adquisición y Locación de inmuebles. Alquiler de muebles,,https://www.contrataciones.gov.py/licitaciones/convocatoria/375919-locacion-inmuebles-determinado-que-servira-asiento-hogar-sustituto-nueva-vida-1.html,
375701,Ministerio de Salud Pública y Bienestar Social (MSPBS),Licitación Pública Nacional,2020-02-27,2020-03-12T09:00:00-04:00,2020-03-16,Julio Mazzoleni (PreCovid),Bienes - Productos quimicos,,https://www.contrataciones.gov.py/licitaciones/convocatoria/375701-adquisicion-insecticidas-fumigantes-senepa-1.html,https://www.contrataciones.gov.py/documentos/download/convocatoria/CV7cqyDzd6g%253D
375644,Ministerio de Salud Pública y Bienestar Social (MSPBS),Contratación Directa,2020-03-18,2020-03-27T09:00:00-04:00,2020-03-27,Julio Mazzoleni (PostCovid),Bienes - Productos Alimenticios,agricultura_familiar;produccion_nacional,https://www.contrataciones.gov.py/licitaciones/convocatoria/375644-adquisicion-alimentos-xii-rs-neembucu-1.html,
375602,Ministerio de Salud Pública y Bienestar Social (MSPBS),Concurso de Ofertas,2020-05-25,2020-06-05T09:50:00-04:00,2020-06-05,Julio Mazzoleni (PostCovid),Bienes - Productos Alimenticios,produccion_nacional;agricultura_familiar,https://www.contrataciones.gov.py/licitaciones/convocatoria/375602-adquisicion-alimentos-hospitales-ix-region-sanitaria-paraguari-1.html,https://www.contrataciones.gov.py/documentos/download/convocatoria/TO12hUwC1Wo%253D
375357,Ministerio de Salud Pública y Bienestar Social (MSPBS),Locación de Inmuebles,2020-03-12,2020-03-23T09:50:00-04:00,2020-03-23,Julio Mazzoleni (PostCovid),Locación Inmuebles - Adquisición y Locación de inmuebles. Alquiler de muebles,,https://www.contrataciones.gov.py/licitaciones/convocatoria/375357-locacion-inmueble-unidad-monitoreo-combustible-mspbs-1.html,
